"Period","Group","Task","Completed","Available","Prepared By","Budget","Responsible","Notes"
"3-5 เดือน","8. จัดการเรื่องแขก","8.2 วางแผนการเดินทางและที่พักสำหรับแขก","No","มี","บ่าวสาว","","",""
"3-5 เดือน","9. จัดการเรื่องอาหารและเครื่องดื่ม","9.1 นัดชิมอาหารกับทางสถานที่","No","มี","สถานที่","","",""
"3-5 เดือน","9. จัดการเรื่องอาหารและเครื่องดื่ม","9.2 สรุปเมนูอาหารและเครื่องดื่ม","No","มี","สถานที่","","",""
"3-5 เดือน","9. จัดการเรื่องอาหารและเครื่องดื่ม","9.3 เลือกประเภทเครื่องดื่ม (แชมเปญ, ไวน์, เหล้า, เบียร์)","No","มี","สถานที่","","",""
"3-5 เดือน","10. ดำเนินการเรื่องเอกสารและการผลิต","10.1 สั่งทำการ์ดเชิญและของชำร่วย","No","มี","บ่าวสาว","","",""
"3-5 เดือน","10. ดำเนินการเรื่องเอกสารและการผลิต","10.2 วางแผนวันจดทะเบียนสมรส","No","มี","บ่าวสาว","","",""
"3-5 เดือน","11. ถ่ายพรีเวดดิ้ง (ถ้ามี)","นัดหมายและถ่ายพรีเวดดิ้ง","No","มี","บ่าวสาว","","",""
"3-5 เดือน","12. คุยรายละเอียดลำดับพิธีการ","ประชุมสรุปลำดับพิธีการทั้งหมด","No","มี","บ่าวสาว","","",""
"1-2 เดือน","13. การ์ดและของชำร่วย","13.1 เริ่มแจกการ์ดเชิญ","No","มี","บ่าวสาว","","",""
"1-2 เดือน","13. การ์ดและของชำร่วย","13.2 ตรวจสอบความเรียบร้อยของชำร่วย","No","มี","บ่าวสาว","","",""
"1-2 เดือน","14. การเตรียมตัวของบ่าวสาว","14.1 ลองชุดแต่งงานรอบสุดท้าย และนัดวันรับชุด","No","มี","บ่าวสาว","","",""
"1-2 เดือน","14. การเตรียมตัวของบ่าวสาว","14.2 ลองแต่งหน้าทำผม","No","มี","บ่าวสาว","","",""
"1-2 เดือน","15. การประสานงาน","15.1 นัดคุยสรุปกับทีมงานทั้งหมด","No","มี","บ่าวสาว","","",""
"1-2 เดือน","16. เตรียมพิธีการ","16.1 เตรียมของสำหรับพิธีต่างๆ: ของรับไหว้, อุปกรณ์หลั่งน้ำสังข์, พานขันหมาก","No","มี","บ่าวสาว","","",""
"1-2 เดือน","16. เตรียมพิธีการ","16.2 เลือกเพลงประกอบ: เพลงเปิดตัว, ตัดเค้ก, บรรเลงในงาน","No","มี","บ่าวสาว","","",""
"1-2 สัปดาห์","17. การยืนยัน","17.1 ยืนยันจำนวนแขกสุดท้ายกับสถานที่จัดงาน","No","มี","บ่าวสาว","","",""
"1-2 สัปดาห์","17. การยืนยัน","17.2 ยืนยันคิวกับทีมงานทั้งหมดอีกครั้ง","No","มี","บ่าวสาว","","",""
"1-2 สัปดาห์","18. การเตรียมงาน","18.1 เตรียมสคริปต์สำหรับพิธีกรและคำกล่าวขอบคุณแขก","No","มี","บ่าวสาว","","",""
"1-2 สัปดาห์","18. การเตรียมงาน","18.2 จัดเตรียมผังที่นั่ง (ถ้ามี)","No","มี","บ่าวสาว","","",""
"1-2 สัปดาห์","18. การเตรียมงาน","18.3 เตรียมซองสำหรับค่าใช้จ่ายทีมงานในวันงาน","No","มี","บ่าวสาว","","",""
"1-2 สัปดาห์","19. การดูแลตัวเอง","19.1 ไปทำสปาหรือนวดผ่อนคลาย","No","มี","บ่าวสาว","","",""
"1 วันก่อนงาน","20. นำของใช้ที่จำเป็นไปไว้ที่สถานที่จัดงาน","นำชุด, ของชำร่วย, กล่องรับซอง ไปเตรียมไว้","No","มี","บ่าวสาว","","",""
"1 วันก่อนงาน","21. ยืนยันคิวงานกับทีมงานอีกครั้ง","โทรคอนเฟิร์มทีมงานหลักทุกคน","No","มี","บ่าวสาว","","",""
"1 วันก่อนงาน","22. พักผ่อนให้เพียงพอ!","เข้านอนแต่หัวค่ำ","No","มี","บ่าวสาว","","",""
"วันแต่งงาน","23. มีความสุขและสนุกกับวันพิเศษของคุณให้เต็มที่!","Enjoy your big day!","No","มี","บ่าวสาว","","",""
"หลังวันงาน","24. ชำระค่าใช้จ่ายส่วนที่เหลือ","เคลียร์ค่าใช้จ่ายกับผู้ให้บริการทั้งหมด","No","มี","บ่าวสาว","","",""
"หลังวันงาน","25. ส่งคืนชุดและอุปกรณ์ที่เช่ามา","นำชุดและของที่เช่าไปคืน","No","มี","บ่าวสาว","","",""
"หลังวันงาน","26. ส่งการ์ดขอบคุณ","ส่งการ์ดขอบคุณแขกและผู้ใหญ่ที่ให้ความช่วยเหลือ","No","มี","บ่าวสาว","","",""
